MOP	language	text	length	rating_list	mean_rating
MOP4	adger-bad	She has kissed she.	4	1, 2, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	1.25
MOP4	adger-bad	The wedding was beautiful was claimed that by everyone.	9	1, 2, 2, 1, 1, 2, 2, 3, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1	1.55
MOP4	adger-bad	Joe must should leave for work on time.	8	1, 1, 2, 1, 4, 3, 4, 1, 1, 2, 1, 1, 1, 4, 1, 4, 4, 1, 1, 1	1.95
MOP4	adger-bad	I believed she may be pregnant.	6	3, 4, 3, 3, 2, 3, 3, 2, 4, 4, 4, 3, 4, 4, 4, 2, 1, 4, 4, 4	3.25
MOP4	adger-bad	The therapist's analysis of Morticia's was flawed.	7	4, 4, 2, 4, 4, 3, 3, 2, 4, 2, 2, 2, 4, 4, 3, 3, 1, 4, 2, 1	2.9
MOP4	adger-bad	I'd planned to have finished, and have finished I did.	10	1, 3, 2, 3, 1, 2, 2, 4, 2, 3, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1	1.9
MOP4	adger-bad	Jason is having argued with Noel.	6	1, 1, 1, 2, 4, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 3	1.65
MOP4	adger-bad	Ryan never has flown an airplane.	6	2, 4, 4, 3, 4, 2, 2, 3, 2, 4, 4, 2, 2, 4, 4, 4, 4, 4, 2, 4	3.2
MOP4	adger-bad	We all thought he to be unhappy.	7	1, 2, 2, 1, 2, 2, 1, 1, 4, 3, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2	1.6
MOP4	adger-bad	Jason wondered that the potion was ready.	7	1, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2	1.9
MOP4	adger-bad	What she thought that was the poison was neutralized.	9	1, 2, 1, 2, 1, 2, 1, 2, 3, 4, 2, 2, 1, 3, 1, 1, 1, 2, 1, 1	1.7
MOP4	adger-bad	Owners of a pig loves to eat truffles.	8	1, 2, 1, 2, 3, 1, 3, 2, 4, 3, 3, 2, 3, 2, 2, 2, 1, 1, 2	2.10526315789
MOP4	adger-bad	Which the poem did Harry recite ?	6	1, 3, 4, 4, 1, 1, 3, 2, 1, 4, 1, 4, 1, 1, 1, 2, 1, 1, 2, 1	1.95
