MOP	language	text	length	rating_list	mean_rating
MOP4	de	Mit der Niederlage endete das oströmische Exarchat von Karthago .	9	3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4	3.875
MOP4	de	"Iho" steht oft nach Verben , die Körperfunktionen ausdrücken und für unser Verständnis nicht reflexiv sind , wie essen ("ʻai") , trinken ("inu") und denken ("manaʻo") .	19	2, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4	3.78571428571
MOP4	de	Zwischenzeitlich zeigt sich eine Trendwende bei den Geburten .	8	2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4	3.82352941176
MOP4	de	Diese Flöze treten hier mit nach Norden gerichtetem Einfallen an das Tageslicht , sie sind dort von glaukonitischen Sandsteinen der Oberkreidezeit ("Essener Grünsandstein") überdeckt .	21	3, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.64285714286
MOP4	de	Auf sie folgte ihr Sohn Wolfgang von Freundsberg; dieser verstarb kinderlos im Jahre 1449 .	14	3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.93333333333
MOP4	de	2013 unterschrieb er beim italienischen Serie A-Aufsteiger Hellas Verona einen Vierjahresvertrag und wurde dort am 28. Juni 2013 als Neuzugang präsentiert .	21	3, 4, 4, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 3, 3	3.6
MOP4	de	Gegen 11:40 Uhr brachen aus der 400 Meter hohen senkrechten Felswand an der Südwand des Flimsersteins kleinere Felspartien los .	19	2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.66666666667
MOP4	de	Beim Abschlagen mit einem Durchschläger verkantet der Konus und beschädigt den Sitz der Gabel .	14	3, 1, 4, 4, 3, 4, 4, 2, 4, 3, 4, 4, 4, 4	3.42857142857
MOP4	de	Hierbei sei „eine deutliche Steigerung der Intensität bis hin zu schwersten Straftaten feststellbar. “	12	3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4	3.8
MOP4	de	Im Deutsch-Französischen Krieg 1870/71 diente er als Reserveoffizier .	8	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3	3.93333333333
MOP4	de	Von 1884 bis 1888 war er Präsident der "Partidul Național Român din Transilvania și Banat" (PNR , Rumänische Nationalpartei) .	15	2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.85714285714
MOP4	de	Einzelne Erzieherinnen oder Lehrer bestreiten die gesamte Betreuung oder Ausbildung der Kinder einer Gruppe oder Klasse , die noch fächerunabhängig , aber bereits fächerorientiert stattfindet .	23	2, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4	3.73333333333
MOP4	de	Heute dient die ehemalige Klosterkirche der katholischen Gemeinde Sainte-Colette-des-Trois-Vallées .	9	3, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 3	3.57142857143
MOP4	de	Melchiors Mutter beantwortet einen Brief von Moritz , der um Geld zur Flucht nach Amerika bittet .	15	3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.85714285714
MOP4	de	Er traf die wichtigsten Entscheidungen , um größere Explosionen zu vermeiden und informierte die Regierung über die Situation in der Zone .	19	3, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4	3.78571428571
MOP4	de	Während dieser Zeit veröffentlichte sie unter anderem Sonderdrucke für den Schweizerischen Nationalfonds und für die Schweizerische Hilfsaktion für Kriegsnotleidende Studenten .	20	3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4	3.8
MOP4	de	Am 20. Dezember 1994 wurde die Cl Maschinenbau GmbH gegründet .	10	3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.9375
MOP4	de	Die Einwohnerzahl der Ortschaft hat sich in den vergangenen beiden Jahrzehnten nur unwesentlich verändert :	14	3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.93333333333
MOP4	de	Dann ging er zum Gegenangriff über und konnte den Gegner zurückwerfen .	10	2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.85714285714
MOP4	de	Die Mandel-Weide ist ein großer Strauch bis kleiner Baum , der eine Wuchshöhe von 10 Meter erreichen kann .	17	4, 2, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4	3.8125
MOP4	de	Im Verlauf der Kampfhandlungen kamen noch 27 polnische Maschinen dieser Bauart als 54.141–167 zur DR .	15	3, 3, 3, 4, 4, 3, 3, 4, 2, 3, 4, 4, 4, 4, 3	3.4
MOP4	de	Anfang 1980 ergänzte ein 2000 GLX Kombi das Angebot .	9	4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4	3.93333333333
MOP4	de	Das brennende Bett ist eine US-amerikanisches Fernseh-Drama aus dem Jahr 1984 .	11	3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3	3.2
MOP4	de	Da seine Bilder einen zum Teil abstrakten Charakter haben , wurden sie in dieser Zeit oftmals als formalistisch angegriffen .	18	2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.86666666667
MOP4	de	Zunächst wurde das Institut kommissarisch von Hermann Schubnell (1910–1996) geleitet , erster ordentlicher Direktor des BiB war der Anthropologe Hans Wilhelm Jürgens .	20	2, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4	3.73333333333
MOP4	de	Sultan Mastura ist eine philippinische Stadtgemeinde in der Provinz Maguindanao .	10	2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4	3.73333333333
